UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,voltage,current,temperature,voltage_roll_mean,voltage_roll_std,current_roll_mean,current_roll_std,temperature_roll_mean,temperature_roll_std,voltage_lag_1,voltage_lag_3,voltage_lag_5,current_lag_1,current_lag_3,current_lag_5,temperature_lag_1,temperature_lag_3,temperature_lag_5
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,252.33173481002723,5.088038606047769,309.12559510442765,251.6981534581244,5.123292415899853,5.24473107779958,0.13669889881852876,309.00380184812377,0.47414918008660156,245.74302139954153,246.63560799729888,259.3256516374112,5.186542686481996,5.282030202030695,5.145742608399855,309.5553888367114,309.0658464513839,308.66379796028997
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,249.37405390015817,5.111049575737438,309.0527978944748,250.9045971618596,4.759186763737307,5.237307198605696,0.14219136902534568,309.092014795723,0.37324866071389273,252.33173481002723,251.41137939162124,252.86349271136362,5.088038606047769,5.177686021300728,5.444238877277551,309.12559510442765,309.4369224028958,309.24304318548144
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,248.85794452276724,4.9470899024839685,310.0828479807464,250.96731726115755,4.724036451312833,5.202014998182827,0.16660141164876954,309.2672897682046,0.3869900216445719,249.37405390015817,245.74302139954153,246.63560799729888,5.111049575737438,5.186542686481996,5.282030202030695,309.0527978944748,309.5553888367114,309.0658464513839
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,250.17111983669798,5.081250893610962,309.12019661783546,251.42613277281907,4.351069406922532,5.196579891253121,0.1698633918756555,309.23511091654825,0.38421848972928874,248.85794452276724,252.33173481002723,251.41137939162124,4.9470899024839685,5.088038606047769,5.177686021300728,310.0828479807464,309.12559510442765,309.4369224028958
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,253.6028808326305,5.150145427121936,308.3289301587989,251.03168870395174,3.8887253558830057,5.1613814800492905,0.131693430910903,309.1675366593046,0.4773786799565281,250.17111983669798,249.37405390015817,245.74302139954153,5.081250893610962,5.111049575737438,5.186542686481996,309.12019661783546,309.0527978944748,309.5553888367114
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,251.33253050881498,5.561232292682946,309.5949147231698,250.23237659109213,2.6036587537476303,5.202930448477599,0.18210539316820684,309.2606483355926,0.45864718062654164,253.6028808326305,248.85794452276724,252.33173481002723,5.150145427121936,4.9470899024839685,5.088038606047769,308.3289301587989,310.0828479807464,309.12559510442765
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,255.37665214751718,5.310758112723748,309.435401043439,250.4836925347075,2.979943177695148,5.189582372022219,0.16669223267407662,309.2798841213883,0.46184936694260137,251.33253050881498,250.17111983669798,249.37405390015817,5.561232292682946,5.081250893610962,5.111049575737438,309.5949147231698,309.12019661783546,309.0527978944748
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,249.15921414848432,5.239653423824427,310.3556449794192,250.73605314982606,2.7127309255214764,5.185344694201592,0.16460647811168894,309.40886397419183,0.5641940973051659,255.37665214751718,253.6028808326305,248.85794452276724,5.310758112723748,5.150145427121936,4.9470899024839685,309.435401043439,308.3289301587989,310.0828479807464
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,257.66957641927183,4.800670288453123,310.0764316316464,251.36187285259112,3.4949385316471027,5.147643120916831,0.20481951149809868,309.4728148970669,0.6026604822136857,249.15921414848432,251.33253050881498,250.17111983669798,5.239653423824427,5.561232292682946,5.081250893610962,310.3556449794192,309.5949147231698,309.12019661783546
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,249.8110075164951,5.365524764588676,308.5935349216708,251.76867146428648,2.9647971374187607,5.1655413287275,0.2161057011517296,309.37662950556285,0.6618656657622787,257.66957641927183,255.37665214751718,253.6028808326305,4.800670288453123,5.310758112723748,5.150145427121936,310.0764316316464,309.435401043439,308.3289301587989
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,255.7037956855326,5.11559019394272,309.6426487958498,252.105877551837,3.216991027599962,5.1682964875169946,0.21518147418102931,309.42833487470506,0.6602700605648371,249.8110075164951,249.15921414848432,251.33253050881498,5.365524764588676,5.239653423824427,5.561232292682946,308.5935349216708,310.3556449794192,309.5949147231698
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,248.46733450203166,5.250393799195994,310.57721677667723,252.01520561202432,3.313863178622146,5.1822309098628505,0.21557382852181728,309.5807767629253,0.7356120115796093,255.7037956855326,257.66957641927183,255.37665214751718,5.11559019394272,4.800670288453123,5.310758112723748,309.6426487958498,310.0764316316464,309.435401043439
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,254.77398875890816,5.0980482123076065,309.56450767058493,252.6068100356384,3.214167101806971,5.197326740845213,0.20214551194018265,309.5289427319092,0.7142553847741013,248.46733450203166,249.8110075164951,249.15921414848432,5.250393799195994,5.365524764588676,5.239653423824427,310.57721677667723,308.5935349216708,310.3556449794192
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,251.73664721065177,5.1914536818211054,309.0426401839171,252.7633627730338,3.119069313218611,5.2083470196662285,0.19807734096566343,309.5211870885173,0.7195880051558955,254.77398875890816,255.7037956855326,257.66957641927183,5.0980482123076065,5.11559019394272,4.800670288453123,309.56450767058493,309.6426487958498,310.0764316316464
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,253.9753406676036,5.3598339571445734,309.40738553531946,252.80060875653112,3.132403543564664,5.229315872668492,0.2022857263942983,309.62903262616936,0.5902381517105636,251.73664721065177,248.46733450203166,249.8110075164951,5.1914536818211054,5.250393799195994,5.365524764588676,309.0426401839171,310.57721677667723,308.5935349216708
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,252.60602010256935,4.967239302523008,309.4003903951404,252.92795771590653,3.091709362974206,5.169916573652498,0.17997175316449446,309.60958019336647,0.5946762843670704,253.9753406676036,254.77398875890816,255.7037956855326,5.3598339571445734,5.0980482123076065,5.11559019394272,309.40738553531946,309.56450767058493,309.6426487958498
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,247.6973388035708,5.229693917040642,308.5239523538305,252.1600263815119,3.3581424347588795,5.161810154084187,0.17467059114749114,309.5184353244056,0.6870172654327962,252.60602010256935,251.73664721065177,248.46733450203166,4.967239302523008,5.1914536818211054,5.250393799195994,309.4003903951404,309.0426401839171,310.57721677667723
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,250.24586043298365,5.147524468409857,309.71094867642546,252.26869100996186,3.266584398879219,5.15259725854273,0.1725250611215923,309.4539656941062,0.6273854529335224,247.6973388035708,253.9753406676036,254.77398875890816,5.229693917040642,5.3598339571445734,5.0980482123076065,308.5239523538305,309.40738553531946,309.56450767058493
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,247.22491023926872,4.8591847392708996,308.7590502317296,251.2242243919615,3.0073284344184845,5.158448703624508,0.1597845739072951,309.32222755411453,0.6204305709336245,250.24586043298365,252.60602010256935,251.73664721065177,5.147524468409857,4.967239302523008,5.1914536818211054,309.71094867642546,309.4003903951404,309.0426401839171
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,248.9603469826183,4.942379087661809,308.79429559417633,251.13915833857385,3.063255629504144,5.116134135931821,0.15480466116161665,309.34230362136503,0.597038576561678,247.22491023926872,247.6973388035708,253.9753406676036,4.8591847392708996,5.229693917040642,5.3598339571445734,308.7590502317296,308.5239523538305,309.40738553531946
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,245.60876429929536,5.087370484367874,309.49708585084414,250.12965519995015,3.0552358286268255,5.113312164974337,0.15507265846614626,309.32774732686454,0.5906424952499266,248.9603469826183,250.24586043298365,252.60602010256935,4.942379087661809,5.147524468409857,4.967239302523008,308.79429559417633,309.71094867642546,309.4003903951404
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,247.76000126510985,5.490083290732769,309.78934300851864,250.05892187625795,3.105767240225047,5.137281114128014,0.19259853644387442,309.24895995004863,0.4383744181768294,245.60876429929536,247.22491023926872,247.6973388035708,5.087370484367874,4.8591847392708996,5.229693917040642,309.49708585084414,308.7590502317296,308.5239523538305
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,247.14554610626038,5.306842295047919,309.33826447123175,249.2960776109932,2.7335101628363714,5.158160522402045,0.19908123488607107,309.22633563011334,0.42594150741486764,247.76000126510985,248.9603469826183,250.24586043298365,5.490083290732769,4.942379087661809,5.147524468409857,309.78934300851864,308.79429559417633,309.71094867642546
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,247.80380762417977,5.1503866500833775,309.8078691200213,248.90279365234596,2.624086450863368,5.154053819228272,0.19874142644569223,309.3028585237238,0.4568874357013456,247.14554610626038,245.60876429929536,247.22491023926872,5.306842295047919,5.087370484367874,4.8591847392708996,309.33826447123175,309.49708585084414,308.7590502317296
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,244.45990764540946,5.084062004147621,308.9285255130347,247.95125035012657,2.2834336621045703,5.1264766239285775,0.18572134541429852,309.2549725214953,0.4696315074088457,247.80380762417977,247.76000126510985,248.9603469826183,5.1503866500833775,5.490083290732769,4.942379087661809,309.8078691200213,309.78934300851864,308.79429559417633
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,250.32797174700846,5.312538684615032,309.14972688151977,247.7234455145705,1.837558655819772,5.16100656213778,0.18492375691788626,309.2299061701332,0.4676930191924653,244.45990764540946,247.14554610626038,245.60876429929536,5.084062004147621,5.306842295047919,5.087370484367874,308.9285255130347,309.33826447123175,309.49708585084414
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,248.5655438066024,5.313630529548163,308.9803386496171,247.81026601487366,1.8565998283169367,5.169400223388533,0.19021705440138037,309.2755447997119,0.409839420214833,250.32797174700846,247.80380762417977,247.76000126510985,5.312538684615032,5.1503866500833775,5.490083290732769,309.14972688151977,309.8078691200213,309.78934300851864
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,257.59513177394405,5.11239368474221,309.50256113553866,248.5451931489697,3.581324477709188,5.165887145021768,0.19098880992894635,309.2547060456232,0.39006160445265253,248.5655438066024,244.45990764540946,247.14554610626038,5.313630529548163,5.084062004147621,5.306842295047919,308.9803386496171,308.9285255130347,309.33826447123175
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,248.96787055973115,5.245879723786189,309.3778883266635,248.7194891810159,3.5522243938098463,5.204556643473297,0.15834900817910635,309.3165898551166,0.3496880557733952,257.59513177394405,250.32797174700846,247.80380762417977,5.11239368474221,5.312538684615032,5.1503866500833775,309.50256113553866,309.14972688151977,309.8078691200213
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,246.03486148188583,5.351420715085173,308.80838048621956,248.42694063094262,3.649323379548055,5.2454608062156325,0.1340688691118516,309.3179983443209,0.34737128013447793,248.96787055973115,248.5655438066024,244.45990764540946,5.245879723786189,5.313630529548163,5.084062004147621,309.3778883266635,308.9803386496171,308.9285255130347
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,249.12312177828161,5.309269456416954,309.5918902945261,248.7783763788413,3.514502172132018,5.267650703420541,0.12289346496653071,309.32747878868906,0.35403184626067635,246.03486148188583,257.59513177394405,250.32797174700846,5.351420715085173,5.11239368474221,5.312538684615032,308.80838048621956,309.50256113553866,309.14972688151977
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,271.5756853088678,4.7109904045404685,308.71608499593304,251.1599447832171,7.980024057279732,5.18974141480131,0.19310937991563681,309.2201529874306,0.3610697792832176,249.12312177828161,248.96787055973115,248.5655438066024,5.309269456416954,5.245879723786189,5.313630529548163,309.5918902945261,309.3778883266635,308.9803386496171
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,249.6590251058525,5.3782867913070955,309.759766236441,251.41129268317633,7.878470389225159,5.196885864427228,0.1991502516932101,309.2623031639515,0.39899989302409317,271.5756853088678,246.03486148188583,257.59513177394405,4.7109904045404685,5.351420715085173,5.11239368474221,308.71608499593304,308.80838048621956,309.50256113553866
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,248.4400205722912,5.444567681718288,308.3181909952999,251.47491397798746,7.848614130175994,5.226303967590719,0.2127798190331049,309.11333535147935,0.44778463508270594,249.6590251058525,249.12312177828161,248.96787055973115,5.3782867913070955,5.309269456416954,5.245879723786189,309.759766236441,309.5918902945261,309.3778883266635
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,251.9306199888905,5.208038532173725,309.6345557196979,252.22198521233554,7.452239735736006,5.23870162039333,0.20710735125815827,309.1839383721457,0.47049239518393327,248.4400205722912,271.5756853088678,246.03486148188583,5.444567681718288,4.7109904045404685,5.351420715085173,308.3181909952999,308.71608499593304,308.80838048621956
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,250.34738331247848,5.236969871774162,309.29987288459944,252.22392636888253,7.4516940751390655,5.231144739109242,0.20548617603125033,309.19895297245364,0.47167359808760767,251.9306199888905,249.6590251058525,249.12312177828161,5.208038532173725,5.3782867913070955,5.309269456416954,309.6345557196979,309.759766236441,309.5918902945261
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,252.68058025325064,5.2987783167287414,308.62885379910716,252.63543001354736,7.34000543905,5.229659517827301,0.20487650839638058,309.1638044874026,0.5019019972380045,250.34738331247848,248.4400205722912,271.5756853088678,5.236969871774162,5.444567681718288,4.7109904045404685,309.29987288459944,308.3181909952999,308.71608499593304
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,248.6960308698776,4.923347538220454,308.7169575480543,251.74551992314076,7.210192962270236,5.210754903175125,0.22466551976074292,309.08524412865415,0.5044633401904872,252.68058025325064,251.9306199888905,249.6590251058525,5.2987783167287414,5.208038532173725,5.3782867913070955,308.62885379910716,309.6345557196979,309.759766236441
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,247.39593727780706,5.051993796617716,308.7330052429017,251.58832659494834,7.294125328393448,5.191366310458277,0.22960921453181637,309.020755820278,0.5041156768926909,248.6960308698776,250.34738331247848,248.4400205722912,4.923347538220454,5.236969871774162,5.444567681718288,308.7169575480543,309.29987288459944,308.3181909952999
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,253.340043429933,5.305200729580082,308.95146093517087,252.3188447897531,7.037434408893912,5.186744311907769,0.22647314199642077,309.03506386517313,0.4994268757840921,247.39593727780706,252.68058025325064,251.9306199888905,5.051993796617716,5.2987783167287414,5.208038532173725,308.7330052429017,308.62885379910716,309.6345557196979
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,249.53085938930118,5.484780534427019,309.6258976094321,252.35961855085498,7.018016018841925,5.204295419708775,0.2432062502526748,309.03846459666374,0.5037369275371976,253.340043429933,248.6960308698776,250.34738331247848,5.305200729580082,4.923347538220454,5.236969871774162,308.95146093517087,308.7169575480543,309.29987288459944
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,245.81453587093876,5.613910122969127,308.7509560575518,249.78350360706207,2.3685472145671347,5.294587391551641,0.2041925797982092,309.0419517028256,0.5013724478848817,249.53085938930118,247.39593727780706,252.68058025325064,5.484780534427019,5.051993796617716,5.2987783167287414,309.6258976094321,308.7330052429017,308.62885379910716
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,247.8383977683215,5.46552892420204,309.1160816235614,249.601440873309,2.4478248077545306,5.303311604841135,0.20994861431949127,308.9775832415377,0.43603943958670266,245.81453587093876,253.340043429933,248.6960308698776,5.613910122969127,5.305200729580082,4.923347538220454,308.7509560575518,308.95146093517087,308.7169575480543
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,254.1083304478791,5.225461007248999,309.204025991297,250.1682718608678,2.782420997027783,5.281400937394206,0.2049423899275925,309.0661667411374,0.3725559400773947,247.8383977683215,249.53085938930118,247.39593727780706,5.46552892420204,5.484780534427019,5.051993796617716,309.1160816235614,309.6258976094321,308.7330052429017
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,258.6526585577772,4.994787479724612,308.76522602645457,250.84047571775645,3.85914737112426,5.260075832149295,0.2236639540778436,308.979233771813,0.32336893749533485,254.1083304478791,245.81453587093876,253.340043429933,5.225461007248999,5.613910122969127,5.305200729580082,309.204025991297,308.7509560575518,308.95146093517087
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,250.44942034399966,5.206198442283861,309.4514861961104,250.8506794209086,3.8578334293590038,5.256998689200265,0.22422812759186636,308.9943951029642,0.343029230956476,258.6526585577772,247.8383977683215,249.53085938930118,4.994787479724612,5.46552892420204,5.484780534427019,308.76522602645457,309.1160816235614,309.6258976094321
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,248.57885726617707,5.299257507845982,310.0835075318537,250.44050712220118,3.8597083168201123,5.257046608311989,0.22423809923697163,309.1398604762388,0.45946408024667346,250.44942034399966,254.1083304478791,245.81453587093876,5.206198442283861,5.225461007248999,5.613910122969127,309.4514861961104,309.204025991297,308.7509560575518
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,255.19550437986436,5.095559107573195,309.1453027219659,251.09045447319986,4.0745636515273835,5.274267765247264,0.20119144763071983,309.18269499363,0.43497125599828573,248.57885726617707,258.6526585577772,247.8383977683215,5.299257507845982,4.994787479724612,5.46552892420204,310.0835075318537,308.76522602645457,309.1160816235614
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,249.77635136324403,5.593823166303796,309.1281992901177,251.32849588174358,3.900561115017242,5.328450702215871,0.2075395592883258,309.2222143983516,0.4066025930668674,255.19550437986436,250.44942034399966,254.1083304478791,5.095559107573195,5.206198442283861,5.225461007248999,309.1453027219659,309.4514861961104,309.204025991297
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,250.25770410507187,5.25649184160041,308.951855254034,251.02026194925747,3.8453374801593414,5.323579813417903,0.208714126350167,309.2222538302379,0.4065734362724311,249.77635136324403,248.57885726617707,258.6526585577772,5.593823166303796,5.299257507845982,4.994787479724612,309.1281992901177,310.0835075318537,308.76522602645457
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,245.31310378479864,5.40867427749159,308.5772408088194,250.5984863888072,4.238107165567062,5.315969187724361,0.2035055167067355,309.1173881501766,0.42568415789060693,250.25770410507187,255.19550437986436,250.44942034399966,5.25649184160041,5.095559107573195,5.206198442283861,308.951855254034,309.1453027219659,309.4514861961104
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,258.73814407607944,5.097828201385134,309.476780612824,251.8908472093213,4.574322669059368,5.264360995565962,0.18406312082140078,309.1899706057038,0.4180738047163545,245.31310378479864,249.77635136324403,248.57885726617707,5.40867427749159,5.593823166303796,5.299257507845982,308.5772408088194,309.1281992901177,310.0835075318537
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,247.01151107249805,5.00876850129754,308.80766636909783,251.80815853973894,4.662343848198511,5.2186849532755115,0.18526529663642904,309.15912908025746,0.43515722655869926,258.73814407607944,250.25770410507187,255.19550437986436,5.097828201385134,5.25649184160041,5.095559107573195,309.476780612824,308.951855254034,309.1453027219659
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,245.69591637921002,5.357877446749859,308.9661207851574,250.96691713287206,4.951193950342659,5.2319265972255975,0.19046268086694162,309.13533855964346,0.43891696089883836,247.01151107249805,245.31310378479864,249.77635136324403,5.00876850129754,5.40867427749159,5.593823166303796,308.80766636909783,308.5772408088194,309.1281992901177
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,248.32487127637256,5.0699249347604995,309.52019539868627,249.93413840473158,4.188242270525341,5.239440342729187,0.18133128341506258,309.2108354968667,0.43307255116020693,245.69591637921002,258.73814407607944,250.25770410507187,5.357877446749859,5.097828201385134,5.25649184160041,308.9661207851574,309.476780612824,308.951855254034
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,251.39237512488367,5.03250363472943,309.5628553543286,250.02843388281994,4.2116819328667,5.2220708619737435,0.19282406997629456,309.22197241268844,0.44130254464312396,248.32487127637256,247.01151107249805,245.31310378479864,5.0699249347604995,5.00876850129754,5.40867427749159,309.52019539868627,308.80766636909783,308.5772408088194
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,246.63935238347798,5.372875330779645,308.94660509844294,249.8344833945501,4.328879961059792,5.22943264426711,0.19744826292403814,309.1082821693474,0.32609833299972163,251.39237512488367,245.69591637921002,258.73814407607944,5.03250363472943,5.357877446749859,5.097828201385134,309.5628553543286,308.9661207851574,309.476780612824
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,249.07517218872675,5.080018550947802,309.1598214554124,249.22245017543634,3.8979050832852273,5.22787858860457,0.19867635472769168,309.109734042692,0.32631372130318526,246.63935238347798,248.32487127637256,247.01151107249805,5.372875330779645,5.0699249347604995,5.00876850129754,308.94660509844294,309.52019539868627,308.80766636909783
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,246.3723225207464,5.331210354343247,309.0166655240943,248.88204729118655,3.991667101333668,5.201617307408516,0.15815467685977486,309.09858066608973,0.32751634532438045,249.07517218872675,251.39237512488367,245.69591637921002,5.080018550947802,5.03250363472943,5.357877446749859,309.1598214554124,309.5628553543286,308.9661207851574
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,246.12232745621148,5.325245304377582,308.82356190368347,248.46850962630046,4.047140885530567,5.208492653686234,0.16224675294850494,309.08575133105467,0.33629743165667725,246.3723225207464,246.63935238347798,248.32487127637256,5.331210354343247,5.372875330779645,5.0699249347604995,309.0166655240943,308.94660509844294,309.52019539868627
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,247.18628742299043,4.741649114290878,308.456738460103,248.6558279901197,3.926417227304135,5.141790137366161,0.20283929887489757,309.0737010961831,0.3580015241811383,246.12232745621148,249.07517218872675,251.39237512488367,5.325245304377582,5.080018550947802,5.03250363472943,308.82356190368347,309.1598214554124,309.5628553543286
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,247.42004204338605,5.301520941813829,307.8712783437389,247.52401778685035,1.6936120529321705,5.162159411409031,0.2080935247368097,308.9131508692745,0.4920557158042284,247.18628742299043,246.3723225207464,246.63935238347798,4.741649114290878,5.331210354343247,5.372875330779645,308.456738460103,309.0166655240943,308.94660509844294
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,250.42153799857428,5.444193896785692,308.5081127678444,247.86502047945797,1.90860705326539,5.205701950957847,0.21776169122071312,308.8831955091492,0.5080491112449151,247.42004204338605,246.12232745621148,249.07517218872675,5.301520941813829,5.325245304377582,5.080018550947802,307.8712783437389,308.82356190368347,309.1598214554124
